Longitud de onda (nm);Muestra 1 10mm Absorbance;Muestra 1-1 10mm Absorbance;Muestra 2 10mm Absorbance;Muestra 2-1 10mm Absorbance
543.5;-0.287;-0.479;-0.358;-0.151
544;-0.178;-0.414;-0.395;-0.136
544.5;-0.149;-0.357;-0.413;-0.134
545;-0.177;-0.306;-0.388;-0.105
545.5;-0.227;-0.347;-0.455;-0.168
546;-0.262;-0.435;-0.541;-0.276
546.5;-0.281;-0.505;-0.592;-0.369
547;-0.384;-0.674;-0.648;-0.468
547.5;-0.523;-0.958;-0.745;-0.573
548;-0.613;-1.125;-0.794;-0.581
548.5;-0.731;-1.239;-0.834;-0.588
549;-0.719;-1.188;-0.79;-0.525
549.5;-0.701;-1.035;-0.73;-0.41
550;-0.685;-0.816;-0.657;-0.27
550.5;-0.65;-0.655;-0.643;-0.203
551;-0.581;-0.544;-0.624;-0.17
551.5;-0.584;-0.566;-0.653;-0.201
552;-0.528;-0.655;-0.677;-0.252
552.5;-0.51;-0.779;-0.734;-0.332
553;-0.507;-0.959;-0.762;-0.366
553.5;-0.54;-1.089;-0.808;-0.43
554;-0.528;-1.137;-0.817;-0.464
554.5;-0.48;-1.126;-0.851;-0.454
555;-0.472;-1.063;-0.864;-0.444
555.5;-0.415;-1.002;-0.825;-0.408
556;-0.374;-0.918;-0.753;-0.353
556.5;-0.402;-0.926;-0.772;-0.397
557;-0.33;-0.87;-0.748;-0.433
557.5;-0.311;-0.855;-0.738;-0.444
558;-0.325;-0.883;-0.733;-0.421
558.5;-0.31;-0.865;-0.694;-0.394
559;-0.359;-0.871;-0.708;-0.365
559.5;-0.377;-0.852;-0.712;-0.33
560;-0.347;-0.819;-0.745;-0.338
560.5;-0.416;-0.855;-0.769;-0.393
561;-0.51;-0.917;-0.823;-0.454
561.5;-0.618;-1.063;-0.913;-0.579
562;-0.729;-1.123;-0.963;-0.649
562.5;-0.78;-1.146;-0.965;-0.646
563;-0.751;-1.122;-0.927;-0.623
563.5;-0.74;-1.137;-0.872;-0.588
564;-0.732;-1.165;-0.866;-0.557
564.5;-0.609;-1.105;-0.804;-0.497
565;-0.465;-1.083;-0.819;-0.482
565.5;-0.443;-1.113;-0.831;-0.544
566;-0.44;-1.129;-0.835;-0.549
566.5;-0.495;-1.171;-0.853;-0.599
567;-0.662;-1.163;-0.884;-0.621
567.5;-0.68;-1.113;-0.88;-0.642
568;-0.72;-1.095;-0.889;-0.693
568.5;-0.769;-1.121;-0.921;-0.737
569;-0.784;-1.15;-0.951;-0.784
569.5;-0.674;-1.078;-0.898;-0.748
570;-0.536;-1.033;-0.896;-0.706
570.5;-0.429;-0.974;-0.826;-0.65
571;-0.373;-0.947;-0.783;-0.584
571.5;-0.391;-0.97;-0.769;-0.552
572;-0.399;-0.966;-0.795;-0.55
572.5;-0.435;-1.008;-0.801;-0.541
573;-0.51;-1.094;-0.857;-0.618
573.5;-0.595;-1.207;-0.924;-0.671
574;-0.646;-1.272;-0.912;-0.665
574.5;-0.587;-1.162;-0.821;-0.582
575;-0.601;-1.131;-0.78;-0.538
575.5;-0.615;-1.092;-0.745;-0.487
576;-0.606;-1.058;-0.7;-0.432
576.5;-0.622;-1.066;-0.721;-0.424
577;-0.546;-1.033;-0.79;-0.437
577.5;-0.613;-1.081;-0.822;-0.479
578;-0.654;-1.063;-0.873;-0.522
578.5;-0.795;-1.122;-0.944;-0.605
579;-0.862;-1.18;-0.948;-0.676
579.5;-0.989;-1.267;-1.018;-0.789
580;-1.074;-1.319;-1.048;-0.842
580.5;-1.031;-1.307;-1.045;-0.852
581;-0.886;-1.173;-0.981;-0.743
581.5;-0.8;-1.184;-0.986;-0.671
582;-0.63;-1.16;-0.99;-0.608
582.5;-0.59;-1.154;-0.951;-0.539
583;-0.5;-1.039;-0.866;-0.436
583.5;-0.524;-1.029;-0.853;-0.436
584;-0.535;-1.064;-0.811;-0.442
584.5;-0.642;-1.133;-0.884;-0.525
585;-0.651;-1.063;-0.846;-0.545
585.5;-0.627;-1.012;-0.804;-0.558
586;-0.616;-0.977;-0.778;-0.558
586.5;-0.562;-0.946;-0.777;-0.557
587;-0.465;-0.965;-0.772;-0.614
587.5;-0.419;-1.051;-0.799;-0.654
588;-0.337;-1.086;-0.789;-0.65
588.5;-0.404;-1.177;-0.865;-0.692
589;-0.487;-1.22;-0.887;-0.713
589.5;-0.586;-1.29;-0.941;-0.729
590;-0.697;-1.271;-0.943;-0.686
590.5;-0.802;-1.3;-0.952;-0.639
591;-0.861;-1.316;-1.028;-0.672
591.5;-0.786;-1.275;-1.018;-0.656
592;-0.718;-1.316;-1.036;-0.703
592.5;-0.609;-1.384;-1.077;-0.751
593;-0.571;-1.399;-1.075;-0.754
593.5;-0.522;-1.33;-1.04;-0.735
594;-0.478;-1.26;-0.99;-0.682
594.5;-0.428;-1.154;-0.93;-0.614
595;-0.435;-0.982;-0.861;-0.51
595.5;-0.535;-0.876;-0.837;-0.478
596;-0.484;-0.698;-0.791;-0.435
596.5;-0.484;-0.616;-0.747;-0.435
597;-0.582;-0.668;-0.765;-0.499
597.5;-0.681;-0.815;-0.834;-0.582
598;-0.813;-0.887;-0.881;-0.609
598.5;-0.783;-0.935;-0.91;-0.62
599;-0.732;-1.066;-0.942;-0.64
599.5;-0.682;-1.146;-0.953;-0.66
600;-0.705;-1.193;-0.946;-0.673
600.5;-0.744;-1.247;-0.957;-0.7
601;-0.676;-1.171;-0.915;-0.674
601.5;-0.694;-1.233;-0.91;-0.716
602;-0.634;-1.187;-0.854;-0.682
602.5;-0.575;-1.154;-0.856;-0.654
603;-0.577;-1.005;-0.839;-0.624
603.5;-0.448;-0.804;-0.807;-0.586
604;-0.383;-0.665;-0.786;-0.555
604.5;-0.364;-0.613;-0.808;-0.536
605;-0.489;-0.66;-0.859;-0.556
605.5;-0.58;-0.765;-0.923;-0.625
606;-0.632;-0.879;-0.952;-0.656
606.5;-0.744;-1.069;-0.976;-0.73
607;-0.72;-1.143;-0.953;-0.718
607.5;-0.699;-1.233;-0.946;-0.747
608;-0.837;-1.323;-0.943;-0.79
608.5;-0.857;-1.351;-0.912;-0.799
609;-0.838;-1.275;-0.856;-0.743
609.5;-0.784;-1.253;-0.852;-0.711
610;-0.808;-1.244;-0.882;-0.664
610.5;-0.771;-1.197;-0.892;-0.631
611;-0.724;-1.171;-0.852;-0.575
611.5;-0.68;-1.095;-0.84;-0.578
612;-0.662;-1.049;-0.876;-0.601
612.5;-0.715;-1.098;-0.901;-0.643
613;-0.827;-1.174;-0.931;-0.703
613.5;-0.895;-1.155;-0.962;-0.757
614;-0.89;-1.155;-0.939;-0.729
614.5;-0.886;-1.182;-0.986;-0.75
615;-0.836;-1.142;-1.019;-0.732
615.5;-0.811;-1.15;-1.069;-0.746
616;-0.815;-1.244;-1.121;-0.778
616.5;-0.825;-1.316;-1.151;-0.816
617;-0.836;-1.325;-1.175;-0.847
617.5;-0.948;-1.384;-1.17;-0.848
618;-1.008;-1.388;-1.106;-0.844
618.5;-0.994;-1.311;-1.082;-0.787
619;-0.903;-1.234;-1.034;-0.693
619.5;-0.829;-1.136;-1.017;-0.65
620;-0.724;-0.993;-0.936;-0.572
620.5;-0.741;-0.979;-0.952;-0.569
621;-0.757;-1.089;-1;-0.62
621.5;-0.81;-1.215;-1.019;-0.657
622;-0.865;-1.349;-1.06;-0.759
622.5;-1.022;-1.519;-1.114;-0.859
623;-1.132;-1.78;-1.18;-0.999
623.5;-1.133;-1.932;-1.25;-1.084
624;-1.021;-1.873;-1.23;-1.09
624.5;-0.889;-1.755;-1.208;-1.055
625;-0.816;-1.577;-1.145;-0.955
625.5;-0.761;-1.428;-1.068;-0.865
626;-0.608;-1.232;-0.938;-0.734
626.5;-0.395;-0.983;-0.827;-0.556
627;-0.261;-0.843;-0.757;-0.456
627.5;-0.331;-0.83;-0.699;-0.455
628;-0.365;-0.916;-0.676;-0.501
628.5;-0.385;-0.954;-0.683;-0.521
629;-0.341;-0.886;-0.693;-0.535
629.5;-0.378;-0.947;-0.771;-0.581
630;-0.561;-1.115;-0.899;-0.656
630.5;-0.715;-1.298;-1.007;-0.725
631;-0.769;-1.405;-1.061;-0.754
631.5;-0.704;-1.379;-1.137;-0.722
632;-0.786;-1.415;-1.18;-0.745
632.5;-0.891;-1.368;-1.146;-0.719
633;-0.846;-1.304;-1.076;-0.7
633.5;-0.758;-1.205;-1.019;-0.623
634;-0.717;-1.115;-0.969;-0.614
634.5;-0.746;-1.16;-0.957;-0.639
635;-0.959;-1.284;-0.988;-0.716
635.5;-1.068;-1.41;-1.03;-0.794
636;-1.087;-1.459;-1.053;-0.884
636.5;-1.011;-1.399;-1.091;-0.861
637;-1.065;-1.494;-1.175;-0.918
637.5;-1.019;-1.535;-1.199;-0.871
638;-0.909;-1.517;-1.205;-0.816
638.5;-0.782;-1.439;-1.21;-0.751
639;-0.651;-1.441;-1.224;-0.721
639.5;-0.546;-1.426;-1.221;-0.71
640;-0.657;-1.549;-1.22;-0.743
640.5;-0.658;-1.541;-1.137;-0.759
641;-0.74;-1.616;-1.134;-0.784
641.5;-0.766;-1.639;-1.137;-0.789
642;-0.771;-1.638;-1.115;-0.794
642.5;-0.719;-1.56;-1.035;-0.756
643;-0.687;-1.43;-1.004;-0.702
643.5;-0.662;-1.331;-0.96;-0.675
644;-0.518;-1.202;-0.921;-0.641
644.5;-0.444;-1.12;-0.945;-0.645
645;-0.497;-1.179;-0.977;-0.684
645.5;-0.5;-1.12;-0.892;-0.637
646;-0.647;-1.165;-0.895;-0.634
646.5;-0.655;-1.132;-0.895;-0.615
647;-0.636;-1.125;-0.911;-0.626
647.5;-0.61;-1.087;-0.906;-0.656
648;-0.584;-1.08;-0.911;-0.655
648.5;-0.685;-1.166;-0.937;-0.712
649;-0.671;-1.022;-0.947;-0.695
649.5;-0.565;-0.858;-0.945;-0.613
650;-0.513;-0.732;-0.89;-0.542
650.5;-0.479;-0.664;-0.737;-0.457
651;-0.532;-0.603;-0.663;-0.398
651.5;-0.577;-0.651;-0.649;-0.439
652;-0.676;-0.83;-0.731;-0.496
652.5;-0.753;-0.923;-0.781;-0.554
653;-0.757;-1.013;-0.825;-0.527
653.5;-0.856;-1.113;-0.963;-0.619
654;-0.893;-1.075;-0.983;-0.584
654.5;-0.77;-0.893;-0.9;-0.496
655;-0.657;-0.862;-0.83;-0.431
655.5;-0.653;-0.876;-0.724;-0.446
656;-0.599;-0.873;-0.671;-0.477
656.5;-0.608;-0.987;-0.651;-0.615
657;-0.681;-1.07;-0.699;-0.684
657.5;-0.726;-1.127;-0.719;-0.739
658;-0.741;-1.124;-0.699;-0.742
658.5;-0.807;-1.09;-0.773;-0.734
659;-0.779;-0.973;-0.737;-0.642
659.5;-0.736;-0.919;-0.73;-0.541
660;-0.687;-0.945;-0.774;-0.432
660.5;-0.667;-0.937;-0.786;-0.383
661;-0.586;-0.889;-0.8;-0.384
661.5;-0.532;-0.928;-0.847;-0.444
662;-0.549;-0.978;-0.903;-0.504
662.5;-0.653;-1.082;-0.941;-0.592
663;-0.703;-1.115;-0.908;-0.623
663.5;-0.651;-0.939;-0.888;-0.559
664;-0.591;-0.828;-0.868;-0.479
664.5;-0.539;-0.913;-0.896;-0.5
665;-0.541;-0.909;-0.893;-0.477
665.5;-0.476;-0.807;-0.925;-0.454
666;-0.456;-0.791;-0.929;-0.474
666.5;-0.467;-0.859;-0.949;-0.499
667;-0.525;-0.954;-1.005;-0.595
667.5;-0.638;-1.068;-1.053;-0.699
668;-0.634;-1.144;-1.09;-0.791
668.5;-0.635;-1.146;-1.143;-0.877
669;-0.666;-1.141;-1.158;-0.94
669.5;-0.685;-1.317;-1.19;-1.108
670;-0.768;-1.344;-1.22;-1.184
670.5;-0.836;-1.331;-1.204;-1.148
671;-0.916;-1.331;-1.12;-1.084
671.5;-0.934;-1.297;-1.007;-0.974
672;-0.866;-1.201;-0.924;-0.893
672.5;-0.804;-1.143;-0.88;-0.834
673;-0.718;-1.147;-0.91;-0.788
673.5;-0.69;-1.178;-0.94;-0.77
674;-0.608;-1.176;-0.922;-0.785
674.5;-0.598;-1.216;-0.976;-0.822
675;-0.526;-1.246;-1.009;-0.815
675.5;-0.53;-1.224;-0.99;-0.762
676;-0.671;-1.314;-1.032;-0.818
676.5;-0.753;-1.423;-1.052;-0.857
677;-0.718;-1.401;-1.023;-0.864
677.5;-0.76;-1.474;-1.056;-0.903
678;-0.857;-1.675;-1.127;-0.963
678.5;-0.87;-1.741;-1.104;-0.964
679;-0.791;-1.729;-1.094;-0.98
679.5;-0.807;-1.624;-1.115;-0.954
680;-0.678;-1.415;-1.078;-0.908
680.5;-0.673;-1.215;-1.099;-0.924
681;-0.72;-1.147;-1.191;-0.989
681.5;-0.658;-0.956;-1.196;-1.002
682;-0.547;-0.767;-1.175;-1.003
682.5;-0.62;-0.781;-1.182;-0.989
683;-0.559;-0.809;-1.073;-0.892
683.5;-0.525;-0.91;-1.001;-0.801
684;-0.563;-1.112;-1.019;-0.753
684.5;-0.786;-1.27;-0.996;-0.704
685;-0.783;-1.344;-0.963;-0.606
685.5;-0.843;-1.395;-1.004;-0.566
686;-0.889;-1.52;-1.076;-0.574
686.5;-0.771;-1.391;-1.05;-0.498
687;-0.681;-1.303;-1.043;-0.546
687.5;-0.676;-1.255;-1.085;-0.585
688;-0.456;-1.103;-1.005;-0.625
688.5;-0.334;-1.059;-0.993;-0.714
689;-0.267;-1.095;-1.077;-0.835
689.5;-0.266;-1.112;-1.089;-0.877
690;-0.232;-1.197;-1.117;-0.872
690.5;-0.38;-1.297;-1.173;-0.849
691;-0.553;-1.372;-1.168;-0.819
691.5;-0.645;-1.401;-1.109;-0.747
692;-0.757;-1.522;-1.117;-0.839
692.5;-0.871;-1.632;-1.217;-0.957
693;-0.917;-1.595;-1.207;-1.054
693.5;-0.882;-1.632;-1.251;-1.165
694;-0.802;-1.719;-1.364;-1.249
694.5;-0.744;-1.807;-1.387;-1.283
695;-0.848;-1.931;-1.439;-1.247
695.5;-0.918;-1.885;-1.386;-1.121
696;-0.815;-1.787;-1.268;-0.963
696.5;-0.907;-1.76;-1.21;-0.846
697;-0.892;-1.72;-1.172;-0.791
697.5;-0.885;-1.588;-1.153;-0.746
698;-0.848;-1.318;-1.036;-0.707
698.5;-0.642;-1.05;-0.966;-0.675
699;-0.425;-0.81;-0.854;-0.614
699.5;-0.352;-0.762;-0.775;-0.596
700;-0.384;-0.743;-0.767;-0.574
700.5;-0.331;-0.648;-0.705;-0.543
701;-0.355;-0.765;-0.726;-0.525
701.5;-0.698;-1.036;-0.852;-0.565
702;-0.764;-1.209;-0.901;-0.608
702.5;-0.748;-1.25;-0.91;-0.571
703;-0.752;-1.193;-0.911;-0.566
703.5;-0.684;-1.113;-0.928;-0.539
704;-0.55;-1.082;-0.931;-0.499
704.5;-0.521;-1.152;-0.917;-0.499
705;-0.551;-1.294;-0.984;-0.566
705.5;-0.709;-1.484;-1.027;-0.719
706;-0.912;-1.654;-1.069;-0.816
706.5;-1.237;-1.892;-1.175;-0.963
707;-1.331;-2.055;-1.178;-1.041
707.5;-1.37;-2.019;-1.201;-1.02
708;-1.47;-2;-1.259;-1.082
708.5;-1.47;-1.926;-1.318;-1.117
709;-1.281;-1.762;-1.336;-1.081
709.5;-1.109;-1.593;-1.333;-1.121
710;-1.03;-1.561;-1.403;-1.176
710.5;-0.95;-1.476;-1.378;-1.204
711;-0.761;-1.253;-1.248;-1.121
711.5;-0.642;-1.225;-1.151;-1.091
712;-0.607;-1.266;-1.046;-1.05
712.5;-0.697;-1.36;-1.033;-0.996
713;-0.934;-1.615;-1.07;-1.024
713.5;-1.125;-1.791;-1.103;-1.01
714;-1.241;-1.914;-1.128;-1.025
714.5;-1.39;-1.905;-1.159;-1.046
715;-1.419;-1.845;-1.189;-1.007
715.5;-1.287;-1.641;-1.155;-0.911
716;-1.127;-1.491;-1.055;-0.808
716.5;-0.912;-1.297;-0.951;-0.768
717;-0.838;-1.238;-0.98;-0.793
717.5;-0.794;-1.217;-1;-0.74
718;-0.821;-1.188;-0.976;-0.694
718.5;-0.84;-1.238;-0.969;-0.668
719;-0.875;-1.299;-0.977;-0.674
719.5;-0.866;-1.168;-0.916;-0.578
720;-0.779;-1.141;-0.926;-0.493
720.5;-0.707;-1.152;-0.895;-0.469
721;-0.805;-1.379;-0.988;-0.591
721.5;-0.788;-1.413;-1.046;-0.699
722;-0.903;-1.607;-1.206;-0.839
722.5;-0.885;-1.594;-1.223;-0.925
723;-0.91;-1.558;-1.196;-1.001
723.5;-0.951;-1.68;-1.253;-1.108
724;-1.046;-1.849;-1.322;-1.203
724.5;-1.047;-1.848;-1.254;-1.149
725;-1.073;-1.929;-1.221;-1.132
725.5;-1.126;-1.971;-1.216;-1.142
726;-1.136;-1.892;-1.198;-1.154
726.5;-1.067;-1.788;-1.135;-1.046
727;-0.957;-1.526;-1.069;-0.86
727.5;-0.723;-1.139;-0.927;-0.65
728;-0.655;-0.841;-0.872;-0.48
728.5;-0.457;-0.616;-0.825;-0.371
729;-0.391;-0.559;-0.839;-0.35
729.5;-0.352;-0.595;-0.849;-0.41
730;-0.37;-0.698;-0.95;-0.542
730.5;-0.531;-0.878;-1.085;-0.78
731;-0.659;-1.174;-1.195;-1.01
731.5;-0.823;-1.579;-1.318;-1.23
732;-0.834;-1.599;-1.335;-1.265
732.5;-0.884;-1.63;-1.317;-1.196
733;-1.003;-1.636;-1.302;-1.127
733.5;-0.913;-1.39;-1.144;-0.978
734;-0.863;-1.275;-1.052;-0.856
734.5;-0.781;-1.148;-1.003;-0.775
735;-0.676;-1.062;-1.014;-0.72
735.5;-0.645;-1.079;-1.041;-0.712
736;-0.745;-1.259;-1.154;-0.775
736.5;-0.794;-1.493;-1.217;-0.904
737;-0.704;-1.496;-1.225;-0.918
737.5;-0.707;-1.642;-1.313;-0.975
738;-0.672;-1.691;-1.372;-1.021
738.5;-0.532;-1.605;-1.295;-1.007
739;-0.455;-1.486;-1.335;-0.938
739.5;-0.479;-1.423;-1.338;-0.876
740;-0.484;-1.371;-1.361;-0.823
740.5;-0.585;-1.445;-1.37;-0.789
741;-0.828;-1.517;-1.368;-0.806
741.5;-0.86;-1.541;-1.267;-0.804
742;-0.854;-1.412;-1.18;-0.728
742.5;-0.765;-1.297;-1.175;-0.734
743;-0.66;-1.114;-1.135;-0.727
743.5;-0.515;-0.893;-1.017;-0.638
744;-0.502;-0.788;-1.013;-0.541
744.5;-0.576;-0.847;-0.938;-0.499
745;-0.588;-0.839;-0.879;-0.41
745.5;-0.642;-0.911;-0.804;-0.387
746;-0.656;-0.928;-0.773;-0.379
746.5;-0.634;-0.931;-0.78;-0.381
747;-0.638;-0.914;-0.865;-0.447
747.5;-0.552;-0.839;-0.96;-0.484
748;-0.519;-0.763;-0.992;-0.533
748.5;-0.51;-0.715;-0.995;-0.517
749;-0.568;-0.779;-1.058;-0.595
749.5;-0.585;-0.78;-1.044;-0.619
750;-0.633;-0.793;-0.985;-0.569
750.5;-0.614;-0.723;-0.916;-0.554
751;-0.561;-0.72;-0.878;-0.552
751.5;-0.691;-0.756;-0.869;-0.575
752;-0.768;-0.866;-0.882;-0.655
752.5;-0.988;-1.047;-0.928;-0.729
753;-1.063;-1.198;-0.918;-0.788
753.5;-1.264;-1.376;-0.982;-0.917
754;-1.44;-1.656;-1.193;-1.118
754.5;-1.453;-1.786;-1.341;-1.235
755;-1.433;-1.833;-1.393;-1.283
755.5;-1.222;-1.774;-1.389;-1.245
756;-1.061;-1.624;-1.362;-1.239
756.5;-0.959;-1.474;-1.272;-1.201
757;-0.787;-1.308;-1.263;-1.13
757.5;-0.781;-1.369;-1.205;-1.05
758;-0.783;-1.562;-1.135;-1.035
758.5;-0.883;-1.716;-1.094;-1.02
759;-1.001;-1.862;-1.134;-0.979
759.5;-1.047;-1.89;-1.15;-0.873
760;-1.035;-1.645;-1.078;-0.736
760.5;-1.042;-1.554;-1.087;-0.648
761;-1.153;-1.449;-1.127;-0.639
761.5;-1.099;-1.275;-1.094;-0.595
762;-1.039;-1.21;-1.185;-0.638
762.5;-1.001;-1.356;-1.296;-0.791
763;-0.97;-1.506;-1.384;-1.008
763.5;-0.822;-1.414;-1.42;-1.051
764;-0.742;-1.336;-1.459;-1.045
764.5;-0.582;-1.205;-1.448;-0.972
765;-0.527;-1.098;-1.374;-0.904
765.5;-0.657;-1.28;-1.373;-0.979
766;-0.693;-1.429;-1.307;-0.998
766.5;-0.803;-1.504;-1.196;-0.986
767;-1.028;-1.72;-1.249;-1.105
767.5;-1.181;-1.839;-1.302;-1.175
768;-1.415;-1.924;-1.328;-1.205
768.5;-1.379;-1.782;-1.272;-1.097
769;-1.313;-1.61;-1.23;-0.923
769.5;-1.173;-1.425;-1.188;-0.771
770;-1.084;-1.449;-1.187;-0.74
770.5;-1.025;-1.43;-1.183;-0.798
771;-0.942;-1.41;-1.256;-0.889
771.5;-0.843;-1.347;-1.304;-0.914
772;-0.776;-1.338;-1.364;-0.864
772.5;-0.919;-1.422;-1.461;-0.898
773;-1.105;-1.565;-1.507;-0.919
773.5;-1.064;-1.561;-1.436;-0.847
774;-1.045;-1.538;-1.323;-0.743
774.5;-1.139;-1.641;-1.369;-0.773
775;-1.073;-1.789;-1.342;-0.81
775.5;-0.892;-1.714;-1.275;-0.823
776;-0.886;-1.699;-1.31;-0.911
776.5;-0.559;-1.462;-1.139;-0.883
777;-0.429;-1.251;-1.079;-0.77
777.5;-0.629;-1.242;-1.165;-0.907
778;-0.737;-1.183;-1.167;-0.906
778.5;-0.862;-1.251;-1.189;-0.926
779;-1.058;-1.241;-1.167;-0.942
779.5;-1.284;-1.359;-1.252;-0.991
780;-1.302;-1.546;-1.265;-0.956
780.5;-1.237;-1.491;-1.277;-0.96
781;-1.369;-1.536;-1.307;-0.971
781.5;-1.18;-1.511;-1.261;-0.936
782;-1.056;-1.59;-1.372;-0.826
782.5;-1.092;-1.633;-1.433;-0.924
783;-1.063;-1.65;-1.462;-1.04
783.5;-1.047;-1.76;-1.466;-1.161
784;-1.034;-1.643;-1.379;-1.207
784.5;-1.026;-1.784;-1.369;-1.231
785;-1.009;-1.817;-1.352;-1.248
785.5;-1.001;-1.603;-1.314;-1.243
786;-1.186;-1.706;-1.352;-1.247
786.5;-1.332;-1.926;-1.463;-1.229
787;-1.307;-1.946;-1.486;-1.114
787.5;-1.281;-1.795;-1.529;-1.147
788;-1.115;-1.556;-1.462;-1.09
788.5;-0.89;-1.257;-1.427;-0.963
789;-0.68;-0.986;-1.308;-0.761
789.5;-0.712;-1.215;-1.317;-0.728
790;-0.713;-1.104;-1.225;-0.692
790.5;-0.834;-1.155;-1.184;-0.72
791;-1.139;-1.5;-1.24;-0.738
791.5;-1.244;-1.7;-1.156;-0.669
792;-1.214;-1.656;-1.051;-0.611
792.5;-1.202;-1.476;-1.031;-0.488
793;-1.048;-1.259;-0.968;-0.442
793.5;-0.88;-1.109;-0.998;-0.404
794;-0.818;-1.064;-0.98;-0.382
794.5;-0.96;-1.106;-1.067;-0.5
795;-0.892;-0.952;-1.056;-0.641
795.5;-0.955;-1.058;-1.123;-0.704
796;-1.088;-1.303;-1.199;-0.782
796.5;-1.066;-1.472;-1.182;-0.829
797;-1.39;-1.739;-1.299;-0.966
797.5;-1.711;-1.889;-1.454;-1.018
798;-1.763;-2.13;-1.636;-1.18
798.5;-1.809;-2.201;-1.657;-1.24
799;-1.746;-2.085;-1.62;-1.304
799.5;-1.551;-1.813;-1.655;-1.401
800;-1.181;-1.497;-1.529;-1.341
800.5;-1.027;-1.279;-1.496;-1.226
801;-0.831;-1.176;-1.383;-1.158
801.5;-0.55;-1.034;-1.365;-1.013
802;-0.752;-1.135;-1.377;-0.994
802.5;-0.942;-1.274;-1.488;-0.918
803;-1.082;-1.449;-1.543;-0.9
803.5;-1.289;-1.702;-1.595;-0.994
804;-1.336;-1.987;-1.465;-1.164
804.5;-1.282;-2.24;-1.567;-1.395
805;-1.403;-2.313;-1.578;-1.487
805.5;-1.549;-2.245;-1.53;-1.618
806;-1.469;-2.219;-1.437;-1.614
806.5;-1.209;-2.122;-1.374;-1.568
807;-1.082;-1.916;-1.152;-1.394
807.5;-0.833;-1.655;-1.057;-1.097
808;-0.702;-1.493;-1.033;-0.954
808.5;-0.683;-1.414;-1.007;-0.773
809;-0.564;-1.303;-0.943;-0.718
809.5;-0.392;-1.091;-1.05;-0.66
810;-0.59;-0.935;-1.128;-0.677
810.5;-0.982;-0.949;-1.166;-0.873
811;-1.228;-1.263;-1.387;-1.097
811.5;-1.255;-1.673;-1.548;-1.293
812;-1.43;-2.044;-1.593;-1.412
812.5;-1.521;-2.5;-1.66;-1.489
813;-1.586;-2.761;-1.777;-1.501
813.5;-1.678;-2.572;-1.703;-1.259
814;-1.643;-2.223;-1.629;-1.105
814.5;-1.512;-1.759;-1.492;-0.816
815;-1.79;-1.608;-1.424;-0.8
815.5;-1.872;-1.439;-1.305;-0.829
816;-1.755;-1.296;-1.22;-0.806
816.5;-1.501;-1.416;-1.177;-0.831
817;-1.437;-1.548;-1.123;-0.911
817.5;-1.139;-1.587;-1.008;-0.862
818;-0.85;-1.545;-1;-0.743
818.5;-0.605;-1.438;-0.976;-0.586
819;-0.647;-1.509;-1.134;-0.614
819.5;-0.674;-1.595;-1.325;-0.639
820;-0.884;-1.74;-1.429;-0.817
820.5;-0.767;-1.569;-1.4;-0.872
821;-0.638;-1.25;-1.316;-0.865
821.5;-0.4;-0.979;-1.3;-0.847
822;-0.287;-0.683;-1.247;-0.831
822.5;-0.137;-0.509;-1.156;-0.799
823;-0.003;-0.495;-1.128;-0.73
823.5;0.147;-0.534;-1.123;-0.664
824;0.027;-0.721;-1.272;-0.69
824.5;-0.029;-0.824;-1.296;-0.705
825;-0.196;-0.898;-1.286;-0.73
825.5;-0.227;-0.883;-1.27;-0.712
826;-0.272;-0.909;-1.269;-0.74
826.5;-0.36;-0.964;-1.318;-0.783
827;-0.563;-1.192;-1.434;-0.889
827.5;-0.739;-1.431;-1.492;-0.976
828;-0.699;-1.404;-1.466;-0.909
828.5;-0.751;-1.465;-1.447;-0.883
829;-0.712;-1.483;-1.383;-0.787
829.5;-0.832;-1.491;-1.348;-0.817
830;-0.955;-1.577;-1.338;-0.828
830.5;-0.976;-1.568;-1.282;-0.748
831;-1.114;-1.625;-1.353;-0.795
831.5;-1.089;-1.681;-1.435;-0.789
832;-1.274;-1.818;-1.572;-0.827
832.5;-1.231;-1.759;-1.552;-0.809
833;-0.996;-1.509;-1.5;-0.814
833.5;-0.843;-1.328;-1.352;-0.818
834;-0.612;-1.082;-1.159;-0.849
834.5;-0.534;-0.947;-1.067;-0.95
835;-0.491;-0.956;-0.928;-0.941
835.5;-0.459;-0.753;-0.784;-0.843
836;-0.487;-0.738;-0.858;-0.836
836.5;-0.446;-0.73;-0.892;-0.685
837;-0.689;-0.862;-0.999;-0.592
837.5;-0.833;-1.084;-1.089;-0.611
838;-0.874;-1.121;-1.088;-0.565
838.5;-1.037;-1.223;-1.132;-0.566
839;-1.122;-1.315;-1.186;-0.685
839.5;-1.039;-1.362;-1.206;-0.658
840;-0.944;-1.227;-1.021;-0.534
840.5;-0.772;-0.913;-1.009;-0.525
841;-0.564;-0.851;-1.013;-0.578
841.5;-0.449;-0.8;-0.924;-0.399
842;-0.736;-1.09;-1.031;-0.459
842.5;-1.176;-1.489;-1.04;-0.558
843;-1.436;-1.935;-1.115;-0.607
843.5;-1.807;-2.275;-1.256;-0.797
844;-1.723;-2.541;-1.312;-0.913
844.5;-1.731;-2.555;-1.353;-0.867
845;-1.505;-2.42;-1.22;-0.772
845.5;-1.282;-1.985;-1.267;-0.666
